Episode 14600, Avg Reward: 11.65, Total Reward: 104.81, Average Profit: 11.65, Average Distance: 9.41
Episode 14700, Avg Reward: -5.22, Total Reward: -46.95, Average Profit: -5.22, Average Distance: 11.31
Episode 14800, Avg Reward: -2.97, Total Reward: -26.75, Average Profit: -2.97, Average Distance: 11.61
Episode 14900, Avg Reward: 12.85, Total Reward: 115.63, Average Profit: 12.85, Average Distance: 9.82
Episode 15000, Avg Reward: 18.90, Total Reward: 170.07, Average Profit: 18.90, Average Distance: 9.12
Episode 15100, Avg Reward: 12.85, Total Reward: 115.63, Average Profit: 12.85, Average Distance: 9.82
Episode 15200, Avg Reward: 28.29, Total Reward: 254.59, Average Profit: 28.29, Average Distance: 7.10
Episode 15300, Avg Reward: 22.10, Total Reward: 198.86, Average Profit: 22.10, Average Distance: 8.26
Episode 15400, Avg Reward: 18.95, Total Reward: 170.52, Average Profit: 18.95, Average Distance: 8.41
Episode 15500, Avg Reward: 33.25, Total Reward: 299.27, Average Profit: 33.25, Average Distance: 5.56
Episode 15600, Avg Reward: 35.21, Total Reward: 316.85, Average Profit: 35.21, Average Distance: 5.06
Episode 15700, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 15800, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 15900, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 16000, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 16100, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 16200, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 16300, Avg Reward: 18.96, Total Reward: 170.66, Average Profit: 18.96, Average Distance: 6.76
Episode 16400, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 16500, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 16600, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 16700, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 16800, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
