Episode 2940, Avg Loss: 0.0000, Reward: -144719.6328125
Episode 2950, Avg Loss: 0.0000, Reward: -144913.4921875
Episode 2960, Avg Loss: 0.0000, Reward: -145124.09375
Episode 2970, Avg Loss: 0.0000, Reward: -190711.6328125
Episode 2980, Avg Loss: 0.0000, Reward: -145543.015625
Episode 2990, Avg Loss: 0.0000, Reward: -145686.33984375
Episode 3000, Avg Loss: 0.0000, Reward: -191868.68359375
Episode 3000 : -191868.68359375
Episode 3010, Avg Loss: 0.0000, Reward: -146058.8984375
Episode 3020, Avg Loss: 0.0000, Reward: -192561.25
Episode 3030, Avg Loss: 0.0000, Reward: -146476.2578125
Episode 3040, Avg Loss: 0.0000, Reward: -193425.09765625
Episode 3050, Avg Loss: 0.0000, Reward: -193835.81640625
Episode 3060, Avg Loss: 0.0000, Reward: -147080.984375
Episode 3070, Avg Loss: 0.0000, Reward: -147264.8828125
Episode 3080, Avg Loss: 0.0000, Reward: -147441.390625
Episode 3090, Avg Loss: 0.0000, Reward: -195249.4609375
Episode 3100, Avg Loss: 0.0000, Reward: -147807.14453125
Episode 3100 : -147807.14453125
Episode 3110, Avg Loss: 0.0000, Reward: -195970.92578125
Episode 3120, Avg Loss: 0.0000, Reward: -148159.1328125
Episode 3130, Avg Loss: 0.0000, Reward: -148379.87890625
Episode 3140, Avg Loss: 0.0000, Reward: -148519.37109375
Episode 3150, Avg Loss: 0.0000, Reward: -246179.03125
Episode 3160, Avg Loss: 0.0000, Reward: -148877.71484375
Episode 3170, Avg Loss: 0.0000, Reward: -149031.00390625
Episode 3180, Avg Loss: 0.0000, Reward: -149217.93359375
Episode 3190, Avg Loss: 0.0000, Reward: -198754.80859375
Episode 3200, Avg Loss: 0.0000, Reward: -149540.67578125
Episode 3200 : -149540.67578125
Episode 3210, Avg Loss: 0.0000, Reward: -199471.79296875
Episode 3220, Avg Loss: 0.0000, Reward: -199850.45703125
Episode 3230, Avg Loss: 0.0000, Reward: -150075.04296875
Episode 3240, Avg Loss: 0.0000, Reward: -200584.8046875
Episode 3250, Avg Loss: 0.0000, Reward: -200950.22265625
Episode 3260, Avg Loss: 0.0000, Reward: -150659.64453125
Episode 3270, Avg Loss: 0.0000, Reward: -150911.77734375
Episode 3280, Avg Loss: 0.0000, Reward: -202166.1875
Episode 3290, Avg Loss: 0.0000, Reward: -202517.671875
Episode 3300, Avg Loss: 0.0000, Reward: -151384.04296875
Episode 3300 : -151384.04296875
Episode 3310, Avg Loss: 0.0000, Reward: -151563.76171875
