Episode 18000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 18100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 18200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 18300, Avg Reward: 29.26, Total Reward: 263.31, Average Profit: 29.26, Average Distance: 5.89
Episode 18400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 18500, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 18600, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 18700, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 18800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 18900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 19000, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 19100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 19200, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 19300, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 19400, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 19500, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 19600, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 19700, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 19800, Avg Reward: 37.85, Total Reward: 340.61, Average Profit: 37.85, Average Distance: 4.48
Episode 19900, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 20000, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 20100, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 20200, Avg Reward: 37.85, Total Reward: 340.61, Average Profit: 37.85, Average Distance: 4.48
Episode 20300, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 20400, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 20500, Avg Reward: 31.02, Total Reward: 279.15, Average Profit: 31.02, Average Distance: 5.63
Episode 20600, Avg Reward: 37.85, Total Reward: 340.61, Average Profit: 37.85, Average Distance: 4.48
Episode 20700, Avg Reward: 37.85, Total Reward: 340.61, Average Profit: 37.85, Average Distance: 4.48
Episode 20800, Avg Reward: 37.85, Total Reward: 340.61, Average Profit: 37.85, Average Distance: 4.48
Episode 20900, Avg Reward: 37.85, Total Reward: 340.61, Average Profit: 37.85, Average Distance: 4.48
Episode 21000, Avg Reward: 37.85, Total Reward: 340.61, Average Profit: 37.85, Average Distance: 4.48
Episode 21100, Avg Reward: 37.85, Total Reward: 340.61, Average Profit: 37.85, Average Distance: 4.48
Episode 21200, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 21300, Avg Reward: 38.10, Total Reward: 342.94, Average Profit: 38.10, Average Distance: 4.55
Episode 21400, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 21500, Avg Reward: 37.85, Total Reward: 340.61, Average Profit: 37.85, Average Distance: 4.48
Episode 21600, Avg Reward: 36.31, Total Reward: 326.76, Average Profit: 36.31, Average Distance: 4.73
Episode 21700, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Traceback (most recent call last):
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 143, in <module>
    main()
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 63, in main
    loss = agent.learn_from_memory(batch_size=batchSize)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/protomate/marl-ecs-course/Midsem/agent.py", line 125, in learn_from_memory
    loss.backward()
  File "/home/protomate/.pyenv/versions/3.12.4/lib/python3.12/site-packages/torch/_tensor.py", line 521, in backward
    torch.autograd.backward(
  File "/home/protomate/.pyenv/versions/3.12.4/lib/python3.12/site-packages/torch/autograd/__init__.py", line 289, in backward
    _engine_run_backward(
  File "/home/protomate/.pyenv/versions/3.12.4/lib/python3.12/site-packages/torch/autograd/graph.py", line 769, in _engine_run_backward
    return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
